,.I,.T,.A,.W,.B
1088,1089.0,design comput center,denison  popov ,,1964-04-01
1089,1090.0,incomplet beta function ratio algorithm two hundr twenti two,gautschi ,,1964-04-01
1090,1091.0,hypergeometr confluent hypergeometr algorithm one hundr nineti one one hundr nineti two,jr  ,,1964-04-01
1091,1092.0,nonrecurs adapt integr algorithm one hundr eighti two,butler ,,1964-04-01
1092,1093.0,evalu determin algorithm two hundr twenti four,rotenberg ,,1964-04-01
1093,1094.0,prime twin algorithm two hundr twenti three,shimrat ,,1964-04-01
1094,1095.0,decim tabl binari code tabl,griebrok ,,1964-04-01
1095,1096.0,avoid matrix revers seven thousand nineti fortran ii seven thousand nineti fortran iv,stevens  benson ,,1964-04-01
1096,1097.0,algorithm convert integ base base b,gladwin ,littl know simpl algorithm integ convers number system present prove,1964-04-01
1097,1098.0,comparison list process comput languag includ detail comparison comit ipl v lisp one five slip,bobrow  raphael ,present comit ipl v lisp five slip well know comput among exhibit characterist exist import common featur review form structur manipul necess dynam pushdown store recur oper princip differ four consider detail represent data programm within machin method storag alloc program formal special includ arithmet usabl term avail document learn debug facil rough comparison show discuss approxim speed final author give heurist aid select use particular problem conclud one languag consid distinctli superior possibl list process applic,1964-04-01
1098,1099.0,profession comput work blind,sterling  lichstein  scarpino  stuebing ,technolog open new intellig sinc particip without disadvantag opportun offer gain entranc variou occup use includ import futur rehabilit plan immedi interest fact may especi suit intens constant experi locat object unseen environ also superbl train memori bring work program skill sight littl need acquir qualif result few debug problem make valuabl addit system group blind could becom seriou profession number develop mediat machin programm paper describ techniqu aid design staff medic comput center univers cincinnati colleg medicin,1964-04-01
1099,1100.0,statu comput scienc curricula colleg univers,atchison  hamblen ,,1964-04-01
1100,1101.0,place logic design switch theori comput curriculum,muller ,,1964-04-01
1101,1102.0,mechan languag cours specif,gorn ,,1964-04-01
1102,1103.0,logic comput scienc,korfhage ,,1964-04-01
1103,1104.0,undergradu curriculum numer analysi,forsythe ,,1964-04-01
1104,1105.0,introduc digit comput,arden ,,1964-04-01
1105,1106.0,program digit comput,perlis ,,1964-04-01
1106,1107.0,comput educ,keenan ,,1964-04-01
1107,1108.0,digit data processor track partial illumin moon,wilcox ,studi lunar track techniqu fabric breadboard ass feasibl best techniqu select conduct defin track observ sight line center partial illumin moon data process portion present detail describ gener oper head assembl data readout oper entir effect data process consider design system basic consist optic sensor digit comput tracker drive mechan three system unit connect cascad compris control loop applic optic telescop radial mechan scan mechan use read lunar sight line measur inform inform sequenti read special purpos digit comput extract measur comput error signal drive tracker appropri attitud,1964-03-01
1108,1109.0,convers power seri chebyshev polynomi,jr  ,even slowli converg power rearrang seri chebyshev polynomi appropri sequenc transform use evalu method illustr comput coeffici expans logarithm dilogarithm,1964-03-01
1109,1110.0,fourier seri method numer solut class parabol partial differenti equat,forrington ,fourier seri describ appli certain class parabol partial reduc problem system ordinari differenti equat applic give show consider advantag convent finit differ method,1964-03-01
1110,1111.0,class iter techniqu factor polynomi,luther ,iter develop term function somewhat charact suffici condit give converg process yield factor arbitrari degre polynomi one variabl lin newton method occur special case,1964-03-01
1111,1112.0,techniqu comput detect correct spell error,damerau ,method describ find might wrong miss extra letter singl transposit unidentifi input compar dictionari time see word match assum one occur test run garbl text correct identif make nineti five percent error type,1964-03-01
1112,1113.0,comput make perspect movi scientif commun tool,zajac ,easi basic transform requir draw fact plu advent high speed microfilm printer gener dynam electron c four twenti make possibl perspect direct output comput program briefli describ studi angular motion contain attitud control system domino shape box satellit sphere circl latitud longitud repres earth cost approxim three eight ibm seven thousand nineti time per one minut movi,1964-03-01
1113,1114.0,gener canon prefix encod,schwartz  kallick ,comput minimum redund exhaust prefix describ one gener huffman frequenc tree anoth determin structur function encod third program assign code,1964-03-01
1114,1115.0,random binari search tree structur,jr  ,effici method use tree structur propos util plu minu branch path signific gain result search key includ alphabet charact,1964-03-01
1115,1116.0,test comput method construct school timet,csima  gotlieb ,previous propos comput base iter involv boolean describ limit test success produc everi trial refer give relat matric zero one theorem bipartit graph problem appli method construct timet real situat note,1964-03-01
1116,1117.0,polyphas sort overlap rewind,mcalester ,variat polyphas describ permit one rewound merg continu remain result major portion rewind time techniqu consid whenev sort write oper five read backward save overlap method appear number avail tape increas,1964-03-01
1117,1118.0,fortran subroutin time seri data reduct,macgowan ,,1964-03-01
1118,1119.0,open letter x three four three fortran standard american associ,,,1964-03-01
1119,1120.0,alcor group represent algol symbol comm acm six one thousand nine hundr sixti three five hundr nineti seven five hundr nineti nine corrigenda,,,1964-03-01
1120,1121.0,comment continu oper notat,barnett  gerard  sambles ,note intend clarifi correct sever point recent paper describ notat symbol manipul p barnett comm acm six august one thousand nine hundr sixti three,1964-03-01
1121,1122.0,note compil algorithm,anderson ,two gener arithmet express discus one present use experiment compil improv suggest k speierman burrough,1964-03-01
1122,1123.0,gauss algorithm two hundr nine,gladfelter ,,1964-03-01
1123,1124.0,matrix divis algorithm one hundr nineti seven,wells ,,1964-03-01
1124,1125.0,syminv two algorithm one hundr fifti,naur ,,1964-03-01
1125,1126.0,erf algorithm one hundr twenti three,barton  wagner ,,1964-03-01
1126,1127.0,tridiagon matrix algorithm one hundr twenti two,naur ,,1964-03-01
1127,1128.0,evalu determin algorithm forti one,rotenberg ,,1964-03-01
1128,1129.0,incomplet beta function ratio algorithm two hundr twenti two,gautschi ,,1964-03-01
1129,1130.0,gamma function althm two hundr twenti one,gautschi ,,1964-03-01
1130,1131.0,context ambigu par,ross ,,1964-02-01
1131,1132.0,extens algol manipul formula,perlis  iturriaga ,,1964-02-01
1132,1133.0,program packag gener mode arithmet,brooker ,,1964-02-01
1133,1134.0,effect six thousand six hundr comput languag structur,allard  wolf  zemlin ,problem compil effici thousand hundr code prompt develop intermedi languag reflect structur machin easili manipul improv object program effici subject paper intermedi languag method manipul compil seri arithmet statement discus assum function exponenti remov statement replac simpl variabl purpos simplic treatment subscript ignor simplifi six thousand six hundr structur present illustr compil method sever assumpt make purpos simplif although case assumpt violat actual machin,1964-02-01
1134,1135.0,gener busi orient languag base decis express,lombardi ,diit comput covr wid present base incorpor aspect common permit write extrem compact even compar complex term express inform particular applic furthermor e g chang affect output involv effect local e g modif entri also allow inexpens prepar load speed compil sourc program effici code approach adopt depart convent mechan design stress structur analysi repres oppos emphas formal e content syntact definit reli exclus non represent tabl relat data result control statement go etc instead use procedur descript one translat flowchart invari pattern procedur identifi characterist class batch file process new philosophi potenti overcom well know defici busi orient fulli meet requir set codasyl languag includ machin independ,1964-02-01
1135,1136.0,begin theori inform handl,jr  ,,1964-02-01
1136,1137.0,format languag,perlis ,,1964-02-01
1137,1138.0,formal program languag,iverson ,,1964-02-01
1138,1139.0,fortran iv syntax languag,leavenworth ,,1964-02-01
1139,1140.0,structur connect formal languag,irons ,,1964-02-01
1140,1141.0,bound context syntact analysi,floyd ,,1964-02-01
1141,1142.0,extens algol like languag,rose ,,1964-02-01
1142,1143.0,analysi decay type data,worsley ,compar studi make varieti numer ment decay type form involv sum exponenti statist also calcul method appli artifici set well experi radioact tracer human anim show sensit procedur care must exercis identifi constant although valu function deriv paramet definit associ physic entiti gener stabl variat fit error bound larg great confid place even would therefor appear best select uniform techniqu run experi analyz data consid signific rel result one subject next,1964-01-01
1143,1144.0,digit comput determin alpha sourc activ,robbins  taylor ,describ determin activ homogen alpha sourc believ techniqu use digit comput mani use applic field nuclear physic techniqu involv comput manipul digit imag nuclear sourc experiment detail give,1964-01-01
1144,1145.0,git heurist program test pair direct line graph isomorph,unger ,give pair direct problem ascertain whether effici know sinc straightforward enum might requir forti year run time high speed order compar two fifteen node sophist approach seem call situat similar prevail area game play theorem prove algorithm unknown interest case variou practic though partial techniqu avail graph tester incorpor varieti process attempt narrow search isomorph demonstr none exist one scheme reli upon exclus solut program design avoid excess comput along fruitless line git write comit languag success test ibm seven thousand nineti,1964-01-01
1145,1146.0,effici composit formula multidimension quadratur,jr  ,two quadratur formula integr dimension hyper rectangl present lie surfac weight sign attach opposit face larg volum subdivid congruent rectangular one point requir interior subdivis achiev second degre accuraci,1964-01-01
1146,1147.0,numer solut boundari valu problem linear ordinari differenti equat,day  ii ,present solut involv linear ordinari differenti equat nonit use step integr scheme reduc boundari one initi valu comment make concern numer result appli method specif addit extens algorithm describ gener problem discus,1964-01-01
1147,1148.0,exampl signific digit arithmet,miller ,method handl sum process geometr seri show give result indic wide differ carri machin incorpor signific digit arithmet,1964-01-01
1148,1149.0,gargoyl languag compil write,garwick ,,1964-01-01
1149,1150.0,fortran post mortem procedur,kahan  leppik ,,1964-01-01
1150,1151.0,note multipli boolean matric ii,comstock ,,1964-01-01
1151,1152.0,float point arithmet eighti four bit number,gregory  raney ,classic straightforward techniqu present limit size type number represent use multipl precis arithmet,1964-01-01
1152,1153.0,fast procedur gener normal random variabl,marsaglia  maclaren  bray ,techniqu normal distribut random number describ faster current gener use readili applic binari decim comput,1964-01-01
1153,1154.0,multi tape infinit state automaton survey,fischer ,survey automata less power gener present felt categori close relat digit either automaton un ture intermedi creat adjoin infinit finit state machin perform follow one restrict unbound portion access two bound number step allow comput increas recur function length input restrict total amount memori avail manner exampl three class properti discus,1965-12-01
1154,1155.0,experi deduct question answer program,slagle ,investig artifici intellig comput experi run lisp call acronym commun sixti eight ten tell either specif inform method gener kind conclus drawn articl one wide varieti human increas deduct power tell three write simpl program hope abil forerunn abil self program way learn four search procedur present two bad defect question answer question answer relev right order six present method make logic deduct predic calculu two bad defect fact chang logic equival one give deducom redund fact give deducom,1965-12-01
1155,1156.0,hankel function algorithm one hundr twenti four seventeen,reilly ,,1965-12-01
1156,1157.0,procedur normal distribut function algorithm two hundr seventi two fifteen,maclaren ,,1965-12-01
1157,1158.0,program structur parallel process,anderson ,organ explic parallel program segment discus extens algol sixti construct serv meta command motiv equip multiprocess capabl,1965-12-01
1158,1159.0,machin independ technolog econom,halpern ,survey offer transfer program especi compil one anoth method examin techniqu singl detail emphasi econom consider determin applic bootstrap specif case discus attempt make assign appropri qualit weight final reason give believ machin independ problem substanti diminish current trend comput process converg hardwar design rather forese softwar develop lead satisfactori resolut,1965-12-01
1159,1160.0,cat seven thousand nineti three thousand six hundr comput aid translat,wilson  moss ,semi automat system implement convert seven thousand nineti fap languag three thousand six hundr assembl languag input system fap deck special prepar user output consist compass languag togeth comprehens diagnost list user must analyz order verifi question area translat translat processor consist three distinct phase assembl fap program comprehens analysi assembl code particular regard action instruct upon instruct upon data final output pas gener compass program form macro instruct,1965-12-01
1160,1161.0,one thousand four hundr one compat featur ibm system three hundr sixti model thirti,mccormack  schansman  womack ,second gener store comput seri part bring edp mass market first time larg scale era unfold chang technolog lead rapid obsolesc data process equip program write particular requir tediou incompat machin come ibm three sixti design problem specif mind convers avail model thirti thousand four hundr one compat featur conjunct aid permit smooth inexpens transit optimum use new system,1965-12-01
1161,1162.0,assembl languag reprogram,graham  ingerman ,complet re compil seldom necessari program present great difficulti gener provid translat symbol numer version program meta present use specifi map conform canon list form arbitrari stream bit bit stream may treat program charact stream whatev el user might desir thu meta use map one assembl anoth assembl languag one machin machin languag anoth,1965-12-01
1162,1163.0,philco ibm translat problem orient symbol binari level,olsen ,translat develop elimin effort formerli requir reprogram philco two seri code ibm seven thousand nineti four oper experi system limit highli success encourag applic techniqu sourc object languag,1965-12-01
1163,1164.0,emul larg system,tucker ,convers problem new call discus develop includ central process cpu input output unit gener treatment follow section describ great detail implement compat featur use emul techniqu ti four seven eighti seven thousand nineti ibm system three hundr sixti,1965-12-01
1164,1165.0,spectra seventi forti five emul rca three hundr one,benjamin ,rca emul system suppli spectra seventi forti five reprogram aid allow rca object program run spectra seventi forti five without necessit chang rca three hundr one object code execut rate consider good tradit simul emul provid increas throughput capac three hundr one user spectrum seventi forti five emul make use hardwar micro program routin softwar routin accomplish function,1965-12-01
1165,1166.0,use macro translat symbol assembl languag one comput anoth,jr  ,set macro oper prepar assist translat ibm nineti symbol assembl languag program ibm forti machin languag program set insert begin seven thousand nineti symbol deck treat incompat mnemon macro produc equival seven thousand forti set incompat categor basic oper class express singl basic skeleton sever level macro call requir suppli argument basic skeleton particular instruct modif execut time address tag incompat instruct requir incorpor address tag equival handl gener call simul subroutin,1965-12-01
1166,1167.0,translat machin languag program,gaines ,machin languag program becom highli desir goal advent new larg scale comput pitfal make difficult achiev complet translat analyz show primarili natur semi automat procedur resolv semant problem suggest,1965-12-01
1167,1168.0,across machin line cobol,fredericks  warburtin ,product larg file mainten retriev program write describ cobol languag use specif enabl system oper three ibm comput,1965-12-01
1168,1169.0,algorithm minim backboard wire function,pomentale ,partial xhaust algorithm prsent solv ollow problem aris automat layout comput give order e one e two en n comput compon permut element e one e two en attach valu integ unction algorithm find local minimum f evalu delta f increment correspond certain exchang two element exchang correspond least neg increment delta f perform process iter stop set increment posit empti set prove correspond minimum procedur similar downhil method find minimum real function f p appli placement problem experiment result present backboard form mani element differ initi placement,1965-11-01
1169,1170.0,analyz english syntax pattern learn parser,mcconlogue  simmons ,depend analysi base pattern recognit logic develop infer class rule syntact combin experi text analyz characterist use form class depth depend tree word direct governor featur immedi neighbor syntact rule combin show relat word governor depth pattern test four elementari basic english includ three use earlier knowlton differ parser four experi three abl gener seventi seven percent accuraci next one hundr accumul learn trial first two hundr sentenc averag probabl nine accur par new sentenc encount conclud adequ learn par bulk basic english develop requir conclus applic ordinari english store system oper avail arpa sdc time share comput system,1965-11-01
1170,1171.0,comparison primal simplex primal dual algorithm linear program,mueller  cooper ,comparison commonli use simplex solv linear program make assumpt start full artifici basi condit primal dual method show statist signific superior randomli gener problem find via regress analysi relev paramet determin differ iter algorithm constraint number variabl also ratio latter former,1965-11-01
1171,1172.0,convers limit entri decis tabl comput program,pollack ,use describ set complex rule base give set condit algorithm effici convert program extend use decis tabl user two algorithm base work do montalbano describ extend handl dash el decis rule first algorithm minim comput storag space requir result program second minim comput run time convers process pinpoint contradict redund among rule tabl,1965-11-01
1172,1173.0,perform system automat segment program within algol compil gier algol,naur ,gier algol compil make use automat handl transfer segment drum core store logic describ perform discuss primarili basi execut time relat two specif program discus conclud ass potenti gain variou way improv system,1965-11-01
1173,1174.0,invers permut algorithm two hundr fifti g six,medlock ,,1965-11-01
1174,1175.0,quickersort algorithm two hundr seventi one one,scowen ,,1965-11-01
1175,1176.0,find eigenvector gaussian elimin algorithm two hundr seventi f two,newhouse ,,1965-11-01
1176,1177.0,determin evalu algorithm two hundr sixti nine f three,pfann ,,1965-11-01
1177,1178.0,algol sixti refer languag editor algorithm two hundr sixti eight r two,mckeeman ,,1965-11-01
1178,1179.0,pufft purdu univers fast fortran translat,rosen  spurgeon  donnelly ,resid go design ibm seven thousand nineti four comput describ littl half thirti two k word core memori provid monitor job sequenc translat full subroutin librari input output use compil execut time rather elabor diagnost messag write routin batch small medium size fortran iv sourc process high speed languag compat maintain program may debug pufft recompil run ibjob ibftc system suppli manufactur,1965-11-01
1179,1180.0,axl axiomat languag string transform,cohen  wegstein ,axl languag design data manipul data arrang linear form workspac transform accord tabl axiom call transform consist match procedur decid applic replac procedur modifi part workspac imper appli accord definit symbol term present systemat assert tabl process definit includ special case recurs assert sever complet program imper give show applic languag,1965-11-01
1180,1181.0,simpl data transmiss system use offic telephon,neilsen ,evolv transmit data type origin mani laboratori situat direct central comput method requir almost special equip use ordinari telephon callup basi present applic includ cardiac output calcul radio activ tracer neurophysiolog time sequenc studi nerv impuls,1965-10-01
1181,1182.0,contextu correl synonymi,rubenstein  goodenough ,experiment corrobor obtain hypothesi proport common context context word b function degre b similar mean shape function howev indic similar context reliabl criterion detect pair word similar mean,1965-10-01
1182,1183.0,note use digit comput tediou algebra program,veronis ,special purpos compil fortran ii languag make possibl long comput procedur base straight forward use format statement gener machin write program,1965-10-01
1183,1184.0,fast storag alloc,knowlton ,fast storag bookkeep method describ particularli appropri structur oper situat involv mani fix locat scheme use llllll l six bell telephon laboratori low level list languag make avail comput regist sever differ size small obtain success split one half large block reconstitut part simultan free,1965-10-01
1184,1185.0,program solv pentomino problem recurs use macro,fletcher ,code describ certain macro instruct give list argument therebi recur discuss cover primarili exampl techniqu use solv problem fit twelv pentomino without overlap plane area form sixti element squar,1965-10-01
1185,1186.0,recurs solut class combinatori problem exampl,lynch w ,combinatori requir select n set element may solv recurs process analog comput binomi coeffici sever specif analyz gener techniqu expos algol program develop one problem,1965-10-01
1186,1187.0,note ascii octal code tabl standard,crosby ,,1965-10-01
1187,1188.0,algol like comput design languag,chu ,idea construct make use algol like program present benefit use high level comput user benefit high level program purpos requir languag enumer achiev purpos translat requir translat design comput logic set boolean equat design languag present term vocabulari sequenc microprogram includ exampl identifi express unari binari oper declar transfer termin exchang statement go statement sever sequenc microprogram,1965-10-01
1188,1189.0,random normal deviat algorithm two hundr sixti seven g five,pike ,,1965-10-01
1189,1190.0,pseudo random number algorithm two hundr sixti six g five,pike  hill ,,1965-10-01
1190,1191.0,find preced function algorithm two hundr sixti five l two,wirth ,,1965-10-01
1191,1192.0,interpol tabl algorithm two hundr sixti four e one,stafford ,,1965-10-01
1192,1193.0,gomori one algorithm two hundr sixti three h,langmaack ,,1965-10-01
1193,1194.0,establish acm repositori principl ir system appli oper,rubinoff  jr  ,histori establish acm moor school univers pennsylvania review briefli two principl present paramount provis inform servic one easi inform file unfamiliar file organ two valu servic exceed cost principl serv guid mechan acm main featur inform direct via line teletypewrit consol direct user access detail organ unrestrict expand search vocabulari user access mani facet stochast search link term file relationship first contribut acm repositori consist three hundr fifteen relat primarili earli research compil document catalog index catalog schedul appear comput review index system describ detail main catalog use describ document invert list provid repositori system retriev concept coordin,1965-10-01
1194,1195.0,uplift univers pittsburgh linear file tandem system,canter  donaghey ,seri comput program develop oper process nation aeronaut space administr linear file system ibm one thousand four hundr one seven thousand nineti combin data process system program note worthi creat fix length logic record fix length block variabl length sourc data format output optim process ibm seven thousand nineti system program complet self check test valid accuraci input materi provid nation aeronaut space administr,1965-09-01
1195,1196.0,applic differenti equat gener problem solv,klopfenstein ,larg class lead digit formul term numer ordinari differenti equat method exist good gener purpos routin solut system furnish power tool process mani problem true point view eas program ea debug minim comput time number exampl discus detail,1965-09-01
1196,1197.0,find zero polynomi q algorithm,henrich  watkins ,method find simultan zero polynomi develop h rutishaus test number polynomi real coeffici slowli converg method quotient differ q algorithm provid start valu newton bairstow algorithm rapid converg necessari suffici condit exist q scheme complet know howev failur may occur zero equal nearli equal magnitud success achiev case tri failur usual traceabl equal magnitud difficulti case comput roundoff may result error spoil scheme even q algorithm give zero usual find major,1965-09-01
1197,1198.0,solut problem concurr program control,dijkstra ,number mainli independ sequenti cyclic process restrict mean commun make way moment one engag critic section cycl,1965-09-01
1198,1199.0,comput center simul project,hutchinson ,today rapidli chang technolog hardwar softwar system difficult therefor base instanc benefit compar give problem situat avail paper mathemat lockhe central formul describ oper comput center term inform net decis process control function perform model experi applic result discus,1965-09-01
1199,1200.0,revers subroutin comput run backward,reily  federighi ,comput design describ permit execut backward well forward either unchang replac conjug instruct show use concept number new subroutin type develop rather unusu sinc properti analog certain matrix oper parallel nomenclatur suggest classif,1965-09-01
1200,1201.0,gener permut lexico graphic order algorithm two hundr two g six,elliott ,,1965-09-01
1201,1202.0,normal random algorithm two hundr g five,pike ,,1965-09-01
1202,1203.0,normdey algorithm one hundr twenti one g five,pike ,,1965-09-01
1203,1204.0,charact structur charact pariti sens serial bit data commun american standard code inform interchang propos american standard,,,1965-09-01
1204,1205.0,undergradu program comput scienc preliminari recommend,,,1965-09-01
1205,1206.0,self judgment method curv fit,demaine ,orient process commun numer describ instrument factor exactli defin limit reliabl measur item maximum permit error associ ordin self judgment principl discard wrong inform mean valu paramet mpe term irf data compat test number differ equat make quickli otherwis intract problem easili solv design mani experi greatli simplifi comput mathemat techniqu use reduc bia sjp discus inadequaci statist graphic method curv fit note,1965-08-01
1206,1207.0,remark simul boolean function,dodd ,,1965-08-01
1207,1208.0,simul comput logic fortran arithmet,weingarten ,,1965-08-01
1208,1209.0,neg zero subscript fortran ii program ibm one thousand six hundr twenti,garber ,,1965-08-01
1209,1210.0,file handl within fortran,harrison ,note describ fortran facilit handl tape allow symbol name inform file without violat casual scientif programm idea simplic comment two year use subroutin give,1965-08-01
1210,1211.0,note storag string,berztiss ,method store string describ use block indefinit size therefor complet dynam relat similar scheme discus,1965-08-01
1211,1212.0,non linear extrapol two point boundari valu problem,bellman  kagiada  kalba ,suggest converg properti usual picard success approxim scheme may improv use non linrar extrapol techniqu numer exampl provid,1965-08-01
1212,1213.0,dynam format specif,ranelletti ,use implement two new convers discuss format type give fortran programm control input output specif execut time,1965-08-01
1213,1214.0,experi algebra manipul comput,lapidus  goldstein ,set subroutin allow algebra manipul ibm seven thousand nineti comput write list processor slip seri four problem increas difficulti solv use routin,1965-08-01
1214,1215.0,techniqu use alcor illinoi seven thousand nineti,gries  paul  wiehle ,algol alcor group ibm seven thousand nineti littl know signific techniqu write togeth organiz detail describ time estim indic compil requir also give,1965-08-01
1215,1216.0,symbol deriv without list process subroutin recurs,smith ,routin develop print symbol deriv absolut continu elementari function one sever variabl use make list process chain rule appli edit produc result eleg effici obtain hand comput subset may imbed formula translat introduc differenti oper algebra program languag,1965-08-01
1216,1217.0,map partit integ algorithm two hundr sixti four one,mckay ,,1965-08-01
1217,1218.0,partit gener algorithm two hundr sixti three one,mckay ,,1965-08-01
1218,1219.0,number restrict partit n algorithm two hundr sixti two one,mckay j ,,1965-08-01
1219,1220.0,nine j symbol algorithm two hundr sixti one z,gunn ,,1965-08-01
1220,1221.0,six j symbol algorithm two hundr sixti z,gunn ,,1965-08-01
1221,1222.0,legendr function argument large one algorithm two hundr fifti nine sixteen,gautschi ,,1965-08-01
1222,1223.0,high speed compil effici object code,gear ,three follow properti briefli describ last intermedi produc preced essenti revers order gener pass hasto read bulki problem orient input doubl scan one either direct perform first two pas allow compil remov local constant recurs calcul express loop part common subexpress recognit optim effect use index regist import discus sinc object code would effici highli machin depend discuss term fortran like although techniqu applic algebra languag,1965-08-01
1223,1224.0,determin comput center environ,rosin ,investig sever gener unavail paramet descript comput center environ obtain actual data reduct describ result one month collect tabul summar,1965-07-01
1224,1225.0,predict analyz path elimin techniqu,kuno ,characterist featur syntact analysi oper harvard ibm seven thousand nineti four delin advantag disadvantag system discuss comparison immedi constitu develop rand corpor robinson english grammar addit new techniqu describ repetit path elimin predict analyz claim effici process time core storag requir,1965-07-01
1225,1226.0,organ structur file,dzubak  warburton ,integr part process mani select within critic oper effici paper inform sourc ten techniqu may employ structur data characterist describ applic independ thu provid design refer allow limit number file organ must consid system,1965-07-01
1226,1227.0,transport algorithm two hundr fifti eight h,bayer ,,1965-07-01
1227,1228.0,treesort three algorithm two hundr forti five one,abrams ,,1965-07-01
1228,1229.0,random permut algorithm two hundr thirti five g six,pike ,,1965-07-01
1229,1230.0,method hyphen end print line,rich  stone ,descript hyphen present result applic sever gener rule charact set consid routin method briefli outlin,1965-07-01
1230,1231.0,peephol optim,mckeeman ,redund instruct may discard final stage compil use simpl techniqu call peephol optim method describ examplesar give,1965-07-01
1231,1232.0,represent standard ecma seven bit code punch card ecma standard,,,1965-07-01
1232,1233.0,convent use symbol prepar flowchart inform process system standard work paper,,paper intend outlin variou consid inform process system convent appli use appear propos american standard flowchart symbol per se,1965-07-01
1233,1234.0,structur yet anoth algol compil,kanner  kosinski  robinson ,high speed top syntax analysi complet elimin back sourc string implement conveni macro languag techniqu simul compil use convent enabl gener code minim store fetch stack pointer motion properli trate side effect block structur recurs without need interpret method run time context problem transmiss recur procedur paramet call name solv manner permit handl common case simpl express array identifi particular effici,1965-07-01
1234,1235.0,stochast approach grammat code english,stolz  tannenbaum  carstensen ,comput describ english text part speech program oper rel high speed limit storag space half event small dictionari function frequent lexic suffix test logic decis rule employ addit final remain word assign anoth form class occur within alreadi identifi context condit probabl use basi empir deriv separ hand code corpu preliminari trial accuraci coder one nineti three obviou way improv algorithm suggest analysi result,1965-06-01
1235,1236.0,smart automat document retriev system illustr,salton  lesk ,fulli automat ibm seven thousand nineti four describ character fact sever hundr differ analyz document featur leav exact sequenc initi unspecifi adapt strategi need individu r use simul actual environ also test effect variou avail process method result obtain far seem indic combin analysi gener reli upon retriev want inform typic search request use exampl present report illustr system oper evalu procedur,1965-06-01
1236,1237.0,convers decis tabl comput program,press ,sever translat convers present evalu term storag requir execut time procedur valuabl hand code guid algorithm compil limit extend entri analyz addit analysi orient program languag featur discus presum reader familiar natur decis tabl convent definit,1965-06-01
1237,1238.0,techniqu integr report multi run system,budea  kamena  kamena ,requisit san francisco oversea suppli agenc includ except simultan satisfact account pose definit problem design particularli handl function practic satisfactori solut develop expand basic tailor servic report two run permit final system easier debug easi maintain effici product respons chang requir osa,1965-06-01
1238,1239.0,graycod algorithm two hundr forti six z,allen ,,1965-06-01
1239,1240.0,transport algorithm two hundr fifti eight h,bayer ,,1965-06-01
1240,1241.0,havi integr algorithm two hundr fifti seven one,kubik ,,1965-06-01
1241,1242.0,modifi graeff method algorithm two hundr fifti six c two,grau ,,1965-06-01
1242,1243.0,test understand differ call name call valu algol sixti,weil ,,1965-06-01
1243,1244.0,bit manipul fortran languag,tobey ,,1965-06-01
1244,1245.0,fortran n ari counter,kent ,,1965-06-01
1245,1246.0,deepli nest iter,korphage ,,1965-06-01
1246,1247.0,oper environ dynam recur comput program system,brown ,present paper brief nontechn introduct oedipu comput serv oper environ system avail servic includ dynam alloc storag contigu block arbitrari size input output hierarchi data type public pushdown list automat recur program rudimentari compil subroutin commun bookkeep debug aid,1965-06-01
1247,1248.0,automat simplif comput program,nievergelt ,present paper problem write would examin perform simplif detect argument program form alon without knowledg suppos,1965-06-01
1248,1249.0,record magnet tape inform interchang two hundr cpi nrzi revis propos american standard,,,1965-06-01
1249,1250.0,graphic symbol problem definit analysi standard work paper,,,1965-06-01
1250,1251.0,american standard ifip icc vocabulari compar,traub ,propos american standard ifip icc vocabulari term use inform process analyz compar,1965-06-01
1251,1252.0,symbol notat statist tabl approach toward automat system design,smith ,prepar statist import function data process organ symbol descript tabl show use aid document also provid first step toward automat tediou time consum part system design program mani comput applic one notat describ suggest make implement large goal,1965-06-01
1252,1253.0,quikscript simscript like languag g twenti,tonge  keller  newell ,quikscript simul base simscript program entir algebra twenti gate quikscript intern implement major differ quikscript simscript present paper program guid languag rather attempt present flavor brief descript simscript includ suffici descript twenti gate render materi understand reader familiar algebra languag,1965-06-01
1253,1254.0,iter element,galler  fischer ,recent addit languag make iter structur mad correspond algol fortran statement avail within express,1965-06-01
1254,1255.0,method data list process applic eeg analysi,philpott  lago ,set subroutin design aid program index number use machin languag symbol assembl system commonli perform list oper outlin logic arrang five group exampl comput power spectral densiti autocovari function discus class eeg signal,1965-05-01
1255,1256.0,dynam variabl format,king ,,1965-05-01
1256,1257.0,debug extens current line debug techniqu,evans  darley ,method linr debug greatli simplifi sever bookkeep task characterist associ process develop implement univac four hundr sixti comput air forc cambridg research laboratori onlin user may insert delet symbol languag number line point previous assembl core remaind program reloc appropri,1965-05-01
1257,1258.0,extend arithmet packag,blum ,mani field exampl algebra number theori must carri degre precis exce normal hardwar capac machin case provid comprehens easi use way perform code ibm seven thousand nineti discus gener problem associ design extend arithmet packag specif refer make program,1965-05-01
1258,1259.0,applic binari number comput routin,weldon  baker ,binari think altern either set letter decim number three easili translat one anoth differ characterist four exampl give form chang equival express save space gain power,1965-05-01
1259,1260.0,least squar analysi reson spectra small comput,marshall  nelson  wilenzick ,problem analyz data mossbauer effect experi discus use cut step procedur converg impos physic constraint function form calcul possibl make small analysi carri ibm one thousand four hundr ten comput forti zero bcd core memori,1965-05-01
